subject,block,trial,effect,target,key,choice,choice_tcd,rt,pA,pB,pC,mA,mB,mC,pos_A,pos_B,pos_C,pA_top,pB_top,pC_top,dwell_A,dwell_B,dwell_C,dwell_p,dwell_m,dwell_Ap,dwell_Am,dwell_Bp,dwell_Bm,dwell_Cp,dwell_Cm,dwell_total,dwell_target,dwell_competitor,dwell_decoy
0,1,1,attraction,A,M,A,target,7220.0,0.78,0.62,0.76,11,15,10,1,0,2,True,False,False,0.5661199740578202,0.1901293238136532,0.2437507021285266,0.6179675043119036,0.3820324956880964,0.3145535784245742,0.251566395633246,0.15085732842811211,0.039271995385541075,0.15255659745921726,0.09119410466930933,5296.394999999928,0.5661199740578202,0.1901293238136532,0.2437507021285266
0,1,2,attraction,B,M,B,target,7770.0,0.78,0.65,0.63,11,15,14,0,1,2,False,False,True,0.29564964353266404,0.48494107376691403,0.21940928270042195,0.39036810708569764,0.6096318929143023,0.07143896406227267,0.2242106794703914,0.15524516222901208,0.32969591153790195,0.16368398079441293,0.05572530190600902,6873.0,0.48494107376691403,0.29564964353266404,0.21940928270042195
0,1,3,attraction,A,M,C,decoy,5870.0,0.72,0.62,0.7,12,15,11,2,0,1,False,True,True,0.29372629878215994,0.3636515909206141,0.34262211029722595,0.6357391173504731,0.36426088264952694,0.12863048009423375,0.1650958186879262,0.233418238800284,0.13023335212033013,0.27369039845595533,0.06893171184127062,4991.040999999965,0.29372629878215994,0.3636515909206141,0.34262211029722595
0,1,4,attraction,B,L,C,decoy,9550.0,0.78,0.62,0.6,11,15,14,2,1,0,True,False,True,0.18947358199451528,0.3906708418749412,0.4198555761305435,0.4694207993914116,0.5305792006085883,0.09568415890723023,0.09378942308728506,0.15193412856185196,0.23873671331308927,0.22180251192232947,0.19805306420821403,8444.448999999986,0.3906708418749412,0.18947358199451528,0.4198555761305435
0,1,5,filler,,M,C,,3740.0,0.29,0.42,0.72,34,23,13,0,2,1,False,False,False,0.32260514827772097,0.111407502729333,0.565987348992946,0.3279804113439164,0.6720195886560836,0.0,0.32260514827772097,0.0,0.111407502729333,0.3279804113439164,0.2380069376490296,3357.0450000000565,,,
0,1,6,compromise,B,L,A,competitor,3650.0,0.72,0.68,0.58,12,14,18,0,2,1,False,False,False,0.4219106680082797,0.183040399722048,0.3950489322696723,0.360350839104971,0.639649160895029,0.14293067734817314,0.2789799906601066,0.08754106073663165,0.09549933898541635,0.12987910102016623,0.26516983124950605,3141.382999999747,0.183040399722048,0.4219106680082797,0.3950489322696723
0,1,7,compromise,B,L,B,target,7650.0,0.72,0.65,0.55,11,15,18,1,0,2,True,True,True,0.4317498657152859,0.32599048741113695,0.2422596468735771,0.49674156277561987,0.5032584372243801,0.20583075195384984,0.22591911376143606,0.17982516828877457,0.1461653191223624,0.11108564253299544,0.13117400434058166,6670.529000000184,0.32599048741113695,0.4317498657152859,0.2422596468735771
0,1,8,filler,,M,C,,3140.0,0.28,0.67,0.78,35,14,12,0,2,1,True,False,True,0.3482285407037885,0.24276284831001996,0.4090086109861915,0.5658648589463782,0.43413514105362183,0.1246412728289992,0.22358726787478933,0.15647273635148207,0.0862901119585379,0.28475084976589693,0.12425776122029458,2607.483000000182,,,
0,1,9,compromise,A,R,B,competitor,8060.000000000001,0.75,0.65,0.85,12,15,9,0,2,1,True,True,True,0.356107798074108,0.42086132492151435,0.22303087700437768,0.5229689529757822,0.47703104702421784,0.19007064887565192,0.16603714919845605,0.21163213144319337,0.20922919347832097,0.12126617265693689,0.10176470434744081,7281.502999999968,0.356107798074108,0.42086132492151435,0.22303087700437768
0,1,10,compromise,B,L,C,decoy,6160.0,0.72,0.62,0.55,12,14,18,2,1,0,True,True,True,0.14275974551851728,0.517102918852931,0.34013733562855175,0.6161683886982345,0.38383161130176546,0.09887713245016039,0.0438826130683569,0.31821862958175123,0.19888428927117976,0.19907262666632292,0.14106470896222884,5309.619999999792,0.517102918852931,0.14275974551851728,0.34013733562855175
