subject,eu,gaze-baseline-dyn,gaze-baseline-stat,glickman1layer,mdft,pt
0,460.4855,227.6251,421.4958,227.4998,382.1818,465.7275
1,333.8093,354.4582,379.111,275.2949,327.2309,339.2254
2,256.9241,371.0625,426.3278,177.1573,203.4537,262.3414
3,409.9357,290.2211,372.1745,223.6461,443.3036,343.5222
4,437.0833,361.8398,430.5335,343.7012,440.3324,442.4994
5,370.7331,194.5179,459.2021,182.7678,324.4064,376.1522
6,240.1566,276.3674,430.5868,169.5005,230.853,234.2506
7,354.2345,353.1085,418.1484,234.9389,269.1908,346.6687
8,339.498,386.5389,463.3576,241.9713,306.5303,344.9141
9,335.757,185.3828,333.9198,130.9998,309.1218,341.1731
10,358.6617,345.8704,408.6794,259.239,522.0188,364.0778
11,322.6943,283.7476,364.5427,196.3351,334.1699,328.1104
12,341.8149,383.5241,432.6983,255.8623,340.0382,347.2307
13,378.4941,205.3822,350.7247,191.8382,358.2268,383.1633
14,482.6022,322.7411,433.8868,293.8106,498.5604,447.8705
15,405.8256,344.1335,411.6244,293.0106,408.431,411.2417
16,351.6168,219.4904,408.7415,183.6669,376.2253,307.0406
17,392.9148,329.7245,354.2697,270.9996,378.6432,387.0906
18,273.976,341.7768,370.5814,214.7593,278.123,272.3702
19,442.7396,328.6723,403.1723,280.7485,373.7355,436.4414
20,231.5914,138.8512,454.6972,107.1213,230.7335,237.0103
21,381.4977,130.0095,358.1243,104.5811,361.5623,335.3474
22,418.2977,322.9357,413.3703,292.2575,353.3814,423.7138
23,330.1644,324.8423,427.3834,233.5092,325.0758,335.5805
24,305.5614,303.7437,412.2871,173.3772,272.2605,310.9775
26,371.5355,148.6867,448.3105,146.7352,349.577,365.7032
27,345.3993,354.8299,438.7664,259.1501,306.6848,350.8154
30,252.1648,419.1488,476.6975,238.0553,225.9412,257.5809
31,142.9532,131.4603,412.7014,66.8706,143.2961,148.3641
32,332.2157,482.527,495.0166,340.3266,261.9833,337.6318
33,381.34,390.6999,452.8385,289.5966,334.9975,378.3946
34,350.6314,395.4673,441.4653,283.8791,323.8484,356.0454
35,399.3344,422.2959,456.9524,340.0244,331.3877,404.7527
36,314.4328,290.0988,390.3766,164.1473,416.4747,319.8489
37,436.1124,245.3493,397.9936,204.8477,337.4219,330.6378
38,386.6862,286.63,405.0506,243.9892,363.5121,372.4525
39,373.021,379.8011,429.0212,291.3303,390.5676,378.4371
41,449.2813,288.1296,374.784,290.8796,435.1823,454.6566
42,478.2917,219.4466,442.6678,204.774,488.9929,473.7266
43,452.3801,317.1169,390.077,301.9344,473.3178,457.7962
